id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
62,DL,1698,JAX,ATL,3,330,80,0,0auTO9,Leta,Tartt,Female,62,Afghanistan,Albert Lea Municipal Airport,US,United States,NAM,North America,7/05/2022,AEL,Karlene Kempster,On Time,Adria Airways,8,Adria Airways customer review,12th June 2012,FALSE,Ljubljana to Brussels with CRJ900. Boarding on time. The aircraft looked quite new and very clean. Meal served was above my expectations. Cabin crew were very nice. The only thing that was bad was the seating arrangement. I sat in 13th or 14th row and that row didn't have any windows! Otherwise flight was ok.,,,Economy Class,,,,,,,,,1,yes,satisfied,Loyal Customer,7,Personal Travel,Eco,1598,0,1,0,3,3,0,3,3,2,2,4,3,4,3,0,0
63,DL,1842,SAT,ATL,3,330,142,0,2MwBUd,Lilli,Sarath,Female,87,Sweden,White Mountain Airport,US,United States,NAM,North America,7/20/2022,WMO,Ollie Ventom,Delayed,Adria Airways,9,Adria Airways customer review,16th February 2012,FALSE,LJU-FRA and FRA-LJU. First flight on time return flight slightly delayed due to heavy snow in FRA. Flight attendants attentive and helpful. Delicious snacks on both flights. While waiting for take off on first leg passengers were served Slovenian sparkling wine juices and water. Comfortable seats and generous leg- room with CRJ 900 to FRA and CRJ 200 to LJU. Both airplanes very clean and seemingly well maintained all in all quite an enjoyable experience.,,,Economy Class,,,,,,,,,4,yes,satisfied,Loyal Customer,39,Personal Travel,Eco,1830,0,1,0,3,2,0,2,2,3,4,3,2,3,2,0,0
64,DL,1972,TPA,ATL,3,330,85,0,F6FIhA,Franz,Roset,Male,23,Greece,Southwest Florida International Airport,US,United States,NAM,North America,3/24/2022,RSW,Stanford Garnam,Cancelled,Adria Airways,5,Adria Airways customer review,17th January 2012,FALSE,LJU-FRA-LJU. Both flights on time. Flight attendants are friendly however they allowed 3 different versions of female uniforms on the same flight. A white T-shirts under an apron looks very casual for a flag-carrier. The planes are quite worn and promotional messages on the seats for an insurance company look cheap. Food is ok taking in consideration that it was just an 1 hour flight.,,,Economy Class,,,,,,,,,1,no,satisfied,Loyal Customer,11,Personal Travel,Eco,1761,0,1,0,3,3,0,3,3,1,2,3,2,3,3,0,0
65,DL,2054,PNS,ATL,3,330,75,0,fFCRXo,Natalya,Offner,Female,23,Czech Republic,South Galway Airport,AU,Australia,OC,Oceania,11/10/2022,ZGL,Christalle Lifton,Cancelled,Adria Airways,9,Adria Airways customer review,20th September 2011,FALSE,Smart and efficient service. Small planes but as a tall man (6ft 4) I did not feel cramped either on the CRJ-200 (AMS-LJU) or the CRJ-900 (LJU-AMS). The cabin crew were friendly and the food for such a short flight was good. Also the price was right.,,,Economy Class,,,,,,,,,4,yes,satisfied,Loyal Customer,52,Personal Travel,Eco,332,0,1,0,3,5,4,3,3,3,0,3,4,3,4,0,0
66,DL,2112,BHM,ATL,3,330,58,0,MR979m,Genevra,Shipperbottom,Female,41,Ethiopia,Doini Airport,PG,Papua New Guinea,OC,Oceania,7/06/2022,DOI,Tandie Willbraham,On Time,Adria Airways,9,Adria Airways customer review,13th September 2011,FALSE,FRA-VIE in Business Class. A great little airline transferred to them after our transatlantic flight. The advantage for the CRJ sitting on a remote stand was that we got a really interesting ride around Frankfurt airport with operating aircraft taxiing landing taking off all around us. Onboard the crew were pleasant and managed to serve a hot lunch to us during the 60 mins flight. We departed and arrived on time and the flight was smooth.,,,Business Class,,,,,,,,,4,yes,satisfied,Loyal Customer,24,Personal Travel,Business,1303,0,1,0,3,4,0,4,4,2,3,3,1,4,4,5,0
67,DL,2306,LIT,ATL,3,330,97,0,HOUKta,Francine,Adolfsen,Female,54,Indonesia,Nanjing Lukou Airport,CN,China,AS,Asia,10/11/2022,NKG,Leanora Romney,Cancelled,Adria Airways,1,Adria Airways customer review,13th September 2011,FALSE,London Gatwick to Ljubljana and Ljubljana to Vienna in Business Class. Delayed slightly at Gatwick but that happens. Otherwise very good flights. Cabin crew friendly and welcoming ensuring that you were okay - without being too pushy and forward. Short flights and light meals/snacks served.,,,Business Class,,,,,,,,,4,yes,satisfied,Loyal Customer,10,Personal Travel,Eco,1624,0,1,0,3,1,0,1,1,3,1,4,1,3,1,0,0
68,DL,2711,SAV,ATL,3,330,65,0,ycRswR,Cairistiona,Tummond,Female,52,Tanzania,Mundo Maya International Airport,GT,Guatemala,NAM,North America,5/25/2022,FRS,Burnaby De Mitris,Cancelled,Adria Airways,7,Adria Airways customer review,19th January 2011,FALSE,ZRH to LJU as a continuation to a flight with Swiss. Adria were not as good as Swiss but they did make us feel welcome onboard and look after us. The return flight was much better than the outbound flight with the cabin crew smiling and talking to passengers. The CRJ was clean and looked in better condition than other airlines equipment I have flown in the past.,,,Economy Class,,,,,,,,,1,yes,satisfied,Loyal Customer,52,Personal Travel,Eco,1744,0,1,0,3,2,0,2,2,1,5,2,2,3,2,0,7
69,DL,2995,BNA,ATL,3,330,67,0,swq47m,Kelci,Colliver,Female,39,China,Matsu Nangan Airport,TW,"Taiwan, Province of China",AS,Asia,10/27/2022,LZN,Dulci Bastow,On Time,Adria Airways,5,Adria Airways customer review,7th January 2011,FALSE,I fly Adria a lot (at least once a month) and find them ok. The service is mixed. Often the supervisor is not ready for boarding and there is no-one to greet. Last time when I boarded the crew were having their photo taken on the tarmac so we all had to stand and wait until they finished. Food is fine and the hand luggage service where it is delivered on the tarmac on landing works well on the CRJ aircraft.,,,Economy Class,,,,,,,,,1,no,satisfied,Loyal Customer,60,Personal Travel,Eco,868,0,1,0,3,3,0,3,3,4,1,3,2,4,3,0,0
70,EV,4940,OMA,ATL,3,330,147,0,rUPU18,Denys,Endricci,Male,33,Nigeria,Biju Patnaik Airport,IN,India,AS,Asia,7/22/2022,BBI,Lolly Sine,Delayed,Adria Airways,5,Adria Airways customer review,10th October 2010,FALSE,I fly Adria quite a lot (aprox 2 flts a month). My routes are normally VIE-LJU or ZRH-LJU. I always wondered why Adria is not high profile airline being small can be a plus. The CRJ200 and 1000 are OK specially 1000 which are brand new and also A319 latest delivery. I hate that they never board on time neither depart on time. For 20 pax you should be in the air in about 15 min. But they lose a lot of time after the boarding is completed and the take off. The service is worse every time. Now you get a small pack of seeds or dry fruit and a bottle of water. The flights are normally only 30 mins but nevertheless I miss the nice box with good sandwich water and a small dessert. The price is well overpriced for what they offer. There were old inflight magazines in cabin. Crew is good but sometimes too familiar with passengers or fellow colleagues.,,,Economy Class,,,,,,,,,1,no,satisfied,Loyal Customer,49,Personal Travel,Eco Plus,2497,0,1,0,4,1,2,4,2,2,0,2,3,2,2,9,0
71,EV,5014,ICT,ATL,3,330,132,0,k2G45D,Findley,Godleman,Male,89,Indonesia,Tamchakett Airport,MR,Mauritania,AF,Africa,10/25/2022,THT,Mitchell Parsisson,Delayed,Adria Airways,6,Adria Airways customer review,25th November 2009,FALSE,"This was my first time with Adria. Short hop from KBP to LJU. The airline is 3 star but my ticket had 5 star price tag. Online sale worked fine online check-in system issued me a pass with wrong boarding time (nearly 2 hours early). Luckily their call center worked well and I was told to report to the airport at normal time and use ""wrong"" boarding pass. It really worked. There were about 14 passengers onboard Canadair200. The plane was new and clean. Seats were very narrow however seat pitch was okay. My seat didn't work well so I did take off and landed in reclined position. Food was much below average (small cheese sandwich) bar service was good and generous. Flight departed late but made it in the air and landed about ontime. Crew were cheerful and attentive. My special meal was delivered and was okay (much better then standard sandwiches offered to other passengers). All in all a real strong 3 star experience but overpriced ticket. Also saw no difference between business and economy cabin. Same seats for different price.",,,Economy Class,,,,,,,,,1,yes,satisfied,Loyal Customer,8,Personal Travel,Eco,2869,0,1,0,4,4,0,4,4,2,1,3,3,4,4,1,0
72,EV,5044,ECP,ATL,3,330,68,0,udSiKS,Fidelio,Guerry,Male,3,China,Yuruf Airport,ID,Indonesia,AS,Asia,5/02/2022,RUF,Caye Donat,Delayed,Adria Airways,7,Adria Airways customer review,27th May 2009,FALSE,ZRH-LJU-ZRH with CRJ-900. New plane with pleasant cabin interior and comfortable leather seats. Flights on time food ok. Adria Airways has new uniforms (60 style) and the flight attendants are attentive. Web-Check-in works excellent.,,,Economy Class,,,,,,,,,4,yes,satisfied,Loyal Customer,40,Personal Travel,Eco,3516,0,1,0,4,1,0,1,1,3,1,4,2,4,1,0,0
73,EV,5117,DHN,ATL,3,330,70,0,zaa5OO,Krishnah,Dabels,Male,54,Russia,Monte Carmelo Airport,BR,Brazil,SAM,South America,9/14/2022,0,Freddie Wallach,On Time,Adria Airways,5,Adria Airways customer review,26th May 2009,FALSE,It is reliable and with good connections between Balkans and Western Europe. However I always find the service on the leg between Skopje and Ljubljana to be lower quality than the leg Ljubljana- Amsterdam Ljubljana - Frankfurt etc. The crew is not so friendly and helpful they always offer tuna sandwiches (assuming that because of the Muslim travelers). I insisted on a ham sandwich and never got it. Twice on the leg Ljubljana-Skopje (or vice versa). If Adria pretends to be a quality part of Star Alliance it shouldn't distinguish among the passengers which fly Skopje - Ljubljana and those flying from Ljubljana to Western Europe.,,,Economy Class,,,,,,,,,4,yes,satisfied,Loyal Customer,33,Personal Travel,Eco,2891,0,1,0,4,1,0,1,1,4,4,4,2,4,1,0,0
74,EV,5393,MGM,ATL,3,330,57,0,ZE7IB5,Diannne,Samter,Female,73,Cameroon,Vadsø Airport,NO,Norway,EU,Europe,11/25/2022,VDS,Simmonds Gallihaulk,Cancelled,Adria Airways,3,Adria Airways customer review,28th February 2009,FALSE,LGW-LJU in Y class. Adria Airways now offer check in on line so it was straight to security which was great. Boarding quick and efficient. Plane downgraded from CRJ9 to CRJ2 but emergency exit seat reservation honoured. Waited on the stand for 30 minutes with no communication from the flight deck. Service was nice with sandwiches hot and cold drinks. Cabin crew were quite robotic seems that pursers are trained not to smile under any circumstances. If crew would have been bit more cheerful and communication from the flight deck bit better it would have been 4*.,,,,,,,,,,,,,no,satisfied,Loyal Customer,8,Personal Travel,Eco,2457,0,1,0,4,3,0,3,3,3,5,2,4,4,3,0,0
75,EV,5532,CAE,ATL,3,330,64,1,llbqHF,Inge,Hewins,Female,30,Morocco,Fakfak Airport,ID,Indonesia,AS,Asia,4/09/2022,FKQ,Danit Hazley,Cancelled,Adria Airways,4,Adria Airways customer review,29th May 2008,FALSE,London to Tirana via Ljubljana Economy Class. 30 minutes late on first leg due to air traffic restrictions at Gatwick but Adria held the connecting flight for us even though there were only a handful of people transferring from the London flight. The food was adequate on both legs and the crew were friendly. All in all a perfectly acceptable journey and I would fly Adria again.,,,,,,,,,,,,,no,satisfied,Loyal Customer,49,Personal Travel,Eco,1911,0,1,0,4,2,0,1,2,1,1,3,1,4,2,0,0
76,EV,7108,PWM,IAD,3,330,114,0,MQFk2E,Dermot,Stainburn,Male,54,Armenia,Islita Airport,CR,Costa Rica,NAM,North America,7/15/2022,PBP,Buddy Guslon,Cancelled,Adria Airways,4,Adria Airways customer review,12th May 2008,FALSE,Ljublijana-Amsterdam. A great little airline. Although the CRJ-200 is a little cramped the service was good with a proper meal adequate refreshments and competent cabin crew. Their inflight magazine is in English and Slovenian and has an interesting mix of articles and company information. Same can't be said about Brnk international airport however! This airport needs a 'spruce up' to say the least.,,,,,,,,,,,,,no,satisfied,Loyal Customer,38,Personal Travel,Eco,2498,0,1,0,4,5,0,2,5,4,2,3,2,4,5,0,1
77,OO,6917,ACV,SMF,3,330,65,0,3CAHBo,Ajay,Durward,Female,26,Russia,João Paulo II Airport,PT,Portugal,EU,Europe,8/26/2022,PDL,Bertha Piborn,On Time,Adria Airways,4,Adria Airways customer review,11th February 2008,FALSE,FRA-VIE-FRA on CRJ200. Cheapest option when compared to Lufthansa and Austrian plying this short 1.5 hour flight. Small plane meant a long bus ride to remote stand position. Larger carry-on bags had to be deposited in a trolley parked next to the plane. Aircraft spotless but leather seats showing their age - quite saggy in the squab. Service consisted of a choice of crusty cheese or ham roll followed by drinks tea & coffee. FAs smiling. The return was similarly uneventful but again a long bus ride at FRA. Luggage claim was quick.,,,,,,,,,,,,,no,satisfied,Loyal Customer,49,Personal Travel,Eco,2316,0,1,0,4,2,0,2,2,3,5,4,3,4,2,1,0
78,OO,7781,EKO,SLC,3,330,70,0,KTegxQ,Constancy,Darke,Female,51,China,Batticaloa Airport,LK,Sri Lanka,AS,Asia,2/12/2022,BTC,Bron Alben,Cancelled,Adria Airways,n,Adria Airways customer review,4th October 2007,FALSE,BRU-LJU-BRU. Outward flight on a CRJ200 very nice - comfortable excellent service and a good breakfast. Return flight on a 737 leased from Ukrainian airlines was also reasonable despite the limited legroom. Earning Star Alliance points also a plus - would recommend.,,,,,,,,,,,,,no,satisfied,Loyal Customer,21,Personal Travel,Eco,2095,0,1,0,4,4,0,4,4,1,4,3,4,4,4,0,0
79,US,1289,BOS,PHL,3,330,84,0,hXhRFH,Cy,Servante,Male,78,China,Omar N Bradley Airport,US,United States,NAM,North America,5/19/2022,MBY,Ludovika Purdon,Cancelled,Adria Airways,n,Adria Airways customer review,8th August 2007,FALSE,I often fly with Adria (50 flights per year). Since Adria is member of Star Alliance there are pretty good connections to the most destinations in Europe. The onboard service is good staff quiet nice. Home base airport in Ljubljana has been upgraded and is getting more international. The business lounge is not on the level it should be - old furniture bad food choice dark. The 3 stars that have been given to Adria are correct.,,,,,,,,,,,,,no,satisfied,Loyal Customer,13,Personal Travel,Eco,1755,0,1,0,4,5,0,5,5,3,1,4,2,4,5,15,8
80,US,1420,PHL,CLT,3,330,102,0,RXha8e,Lennard,Giorgi,Male,43,Peru,Lihue Airport,US,United States,NAM,North America,1/31/2022,LIH,Jordana Lantaff,On Time,Adria Airways,n,Adria Airways customer review,14th July 2007,FALSE,LGW-LJU-LGW on an older but clean A320. Outwards in 7A with plenty of legroom return in 12F with adequate legroom but need to be careful as the plastic shell on the bottom of the seat in front had started to crack with some sharp edges. Cheese roll served outbound and a jam filled croissant on the return - better than nothing but room for improvement. Coffee and soft drinks free but only one round early in the flight. Very pleasant crew on both sectors. Only gripe was baggage collection at LJU - three flights on one carousel and they seemed to unload baggage in batches from each flight turn about which caused chaos. The second carousel sat unused for the first 40 minutes waiting!,,,,,,,,,,,,,no,satisfied,Loyal Customer,70,Personal Travel,Eco,1650,0,1,0,4,4,0,4,4,1,4,4,4,4,4,19,45
81,US,1732,ATL,CLT,3,330,68,1,phfnHI,Cordie,Rosenberger,Female,3,Brazil,Spirit of St Louis Airport,US,United States,NAM,North America,7/17/2022,SUS,Enrica Ferrarini,On Time,Adria Airways,n,Adria Airways customer review,24th March 2007,FALSE,Frankfurt-Ljubljana-Munich in business class: the first flight was on a B737 in the colours of Ukraine International and that plane's interior was substandard while the second flight was on a new CRJ. Both flights on time and without glitch. The service is friendly but meals should be improved. Overall they gave the impression of being a pleasant short haul airline.,,,,,,,,,,,,,no,satisfied,Loyal Customer,45,Personal Travel,Eco,488,0,1,0,4,1,4,3,5,5,0,5,2,5,1,0,0
82,US,347,PDX,PHX,3,330,148,0,cYDvaj,Noelyn,Penquet,Female,80,Brazil,Tahsis Seaplane Base,CA,Canada,NAM,North America,11/16/2022,ZTS,Harlene Illingsworth,On Time,Adria Airways,n,Adria Airways customer review,9th October 2006,FALSE,Zurich-Ljubljana return. About 2 hours+ journey. Both sector uses the Bombardier Regional Jet CRJ200. Small plane but the 2-3 crews on both sectors were friendly and the service efficient. Seats were comfortable and the planes in good clean conditions. Light meals were served - generally a roll here or a pie there plus drinks. The inflight magazine is surprisingly rich with information on Slovenian culture and way of life and is one of the best I have read. You board the planes on the tarmac via buses from the gates though and not through connecting bridges.,,,,,,,,,,,,,no,satisfied,Loyal Customer,67,Personal Travel,Eco,465,0,1,0,4,2,3,4,4,4,0,2,1,4,3,35,69
83,US,913,RIC,CLT,3,330,72,0,Utv847,Frank,Greenhough,Male,52,Philippines,Mururoa Atoll Airport,PF,French Polynesia,OC,Oceania,2/06/2022,UOA,Ronald Antonucci,On Time,Adria Airways,n,Adria Airways customer review,29th September 2006,FALSE,LGW-LJU return. Outbound was on A320 seated towards the front of Y-class on a very empty flight. The crew were friendly enough and served a ham or cheese roll and round of drinks. LJU airport was easy to use and out within minutes. The coach ride into town goes through some nice Slovenian countryside. Return was on a B737-500 flight was full and had a middle seat but exit row (9E) seat pitch was great. Again right after take off was served with a cream pie desert and drinks. Crew were again friendly and another smooth flight that landed about 15mins ahead of schedule.,,,,,,,,,,,,,no,satisfied,Loyal Customer,59,Personal Travel,Eco,474,0,1,0,4,4,3,3,3,3,0,3,1,3,1,0,0
84,XE,2263,BTR,IAH,3,330,72,1,VxH2IW,Tan,Connold,Male,73,Sweden,Denver International Airport,US,United States,NAM,North America,5/07/2022,DEN,Bevvy Cleall,On Time,Adria Airways,n,Adria Airways customer review,27th September 2006,FALSE,LGW-LJU-LGW last week overall impressed with standard of service on A320. The food in economy was very basic but I didn't expect any! Drinks free. Was allocated row 11 (emergency exit) with out asking she said your very tall(6'4) I will give you some more leg room! Only minor complaint was the seat base comfort it was rock hard like sitting on a wood bench. On the return the seat in row 25 was little better they seem to have cut back on the foam. Crew were excellent a nice airline all in all.,,,,,,,,,,,,,no,satisfied,Loyal Customer,48,Personal Travel,Business,374,0,1,0,4,2,3,3,5,5,0,1,3,5,3,14,13
85,XE,3024,HRL,IAH,3,330,70,0,odEULc,Star,Casford,Female,49,Greece,Arly Airport,BF,Burkina Faso,AF,Africa,10/29/2022,ARL,Bailey Priver,Cancelled,Adria Airways,n,Adria Airways customer review,2nd August 2006,FALSE,DUB-NAP. Was expecting very poor standards of both safety and comfort from this airline but was surprised. Flight at 5.00 am and the FA's were refreshed and alert. Pre flight safety procedures were clear and as high a standard as any other 3 star airline. The seats were quite hard and leg room was limited but the flight was made pleasant by friendly FA's. In flight catering was poor considering it was a four hour flight. We were handed almost frozen sandwiches and a juice box. Baggage collection was mayhem. All in all the flight was fair and would fly Adria again - but the airline does not compare to other 3 star airlines such as Aer Lingus and KLM.,,,,,,,,,,,,,no,satisfied,Loyal Customer,44,Personal Travel,Eco,365,0,1,0,4,3,4,3,5,5,0,5,4,5,3,0,0
86,YV,2605,MYR,CLT,3,330,62,0,5fH1h6,Travers,Selwyne,Male,85,Colombia,Springfield Branson National Airport,US,United States,NAM,North America,8/09/2022,SGF,Annetta Vasyunkin,Cancelled,Adria Airways,n,Adria Airways customer review,21st February 2006,FALSE,Frankfurt to Vienna and was quite satisfied. I was surprised when the flight attendant started giving out meals as I did not expect to be fed at all on such a short flight of only 55 minutes. It was perhaps a bit cramped on board the Canadair Regional Jet though I wouldn't complain about it. Crew was overall quite friendly and efficient.,,,,,,,,,,,,,no,satisfied,Loyal Customer,52,Personal Travel,Eco,351,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0,0
87,HA,103,HNL,LIH,3,331,35,0,bf9LOz,Randie,Jankin,Male,68,Mexico,Paradise Island Airport,MZ,Mozambique,AF,Africa,10/29/2022,NTC,Ibrahim Andraud,On Time,Adria Airways,n,Adria Airways customer review,1st October 2005,FALSE,Flew to Ljubljana from Gatwick. Plane was a new Canadair Regional Jet small (40 seats) but good leg room and comfortable. Both cabin crew were friendly. Food was just a cheese or ham roll but fine for a 1 hr 40 minute flight. And Adria were one of the only airlines leaving Gatwick that evening not to be delayed. Return flight was an A320 full comfortable and good service once again. Would recommend Adria again and worth paying the extra 20quid over Easyjet for flying from Gatwick and not having to pay for food or drink.,,,,,,,,,,,,,no,satisfied,Loyal Customer,9,Personal Travel,Eco,2175,0,1,0,4,5,0,4,5,4,2,3,2,4,5,0,3
88,UA,576,SEA,DEN,3,331,159,0,OI5AwZ,Henryetta,Noice,Female,36,Chile,Merritt Airport,CA,Canada,NAM,North America,11/03/2022,YMB,Sybilla Hargey,Delayed,Adria Airways,n,Adria Airways customer review,15th September 2005,FALSE,Round trip LGW - LJU in Economy Class both legs on an A320. Service pretty friendly planes clean & well-maintained flights on time. Food on each leg (outbound mid-morning return early morning) was a simple processed cheese roll though for a two-hour flight the food is probably not the most important aspect of the journey. All-in-all a pretty reasonable experience with no major complaints.,,,,,,,,,,,,,no,satisfied,Loyal Customer,69,Personal Travel,Eco,1428,0,1,0,4,4,0,4,4,4,4,3,2,3,4,0,0
89,OO,6644,TUS,DEN,3,333,112,0,lh0OoV,Fons,Schrieves,Male,14,Albania,Naval Outlying Field Imperial Beach (Ream Field),US,United States,NAM,North America,9/26/2022,NRS,Reinald Toffler,On Time,Adria Airways,n,Adria Airways customer review,3rd December 2004,FALSE,I have used their VIE-FRA-VIE service several times. All flights were on time the atmosphere on board (CRJ) fine service is friendly although their snack and drinks are not outstanding. But for a flight of 1 hour what should it be? Codesharing with LH enables to collect miles though they dont count for status.,,,,,,,,,,,,,no,satisfied,Loyal Customer,51,Personal Travel,Eco,986,0,1,0,4,5,0,5,5,1,5,3,1,3,5,2,12
90,YV,7294,SBN,ORD,3,334,46,0,7K0lgK,Lissa,Thynn,Female,74,Luxembourg,In Guezzam Airport,DZ,Algeria,AF,Africa,1/20/2022,INF,Sean Searchwell,Delayed,Adria Airways,n,Adria Airways customer review,18th March 2004,FALSE,Flew march 12/14 on JP from ZRH-LJU-ZRH. The flights were on time the flight attendants nice and helpful. The sandwich has got an upgrade and is now equal to LH. A Minus point was that they were handing out only Apple Juices - if you wanted to have wine or other drinks you had to ask specifically for it. This gives me kind of a cheap impression as it seems to the passenger that they wanted to hide it from them. The wine they served was below industry standards and not what a wine country like Slovenia should serve its guests on their trip to the country. I absolutely agree that on such short legs there is no necessity of any food/drinks however either this is clearly defined in the service guide of the airline or then crews should adhere to their service guidelines.,,,,,,,,,,,,,no,satisfied,Loyal Customer,9,Personal Travel,Eco,1628,0,1,0,4,3,0,4,3,3,2,3,1,4,3,0,0
91,9E,3661,CAK,DTW,3,335,76,0,8P7qZJ,Mattias,Darrell,Male,78,Honduras,Aldan Airport,RU,Russian Federation,AS,Asia,8/07/2022,ADH,Masha Banville,Cancelled,Adria Airways,n,Adria Airways customer review,1st November 2003,FALSE,Round trip LGW - LJU in Business Class. Check-in staff at LGW very efficient and friendly. A320 clean and staff most helpful. Food and Wine need improvement. Flights all on time and overall a pleasant experience.,,,,,,,,,,,,,no,satisfied,Loyal Customer,40,Personal Travel,Eco,4161,0,1,1,1,1,4,4,4,4,1,2,4,3,4,0,0
92,9E,3725,TVC,DTW,3,335,75,0,yK4MWF,Cirilo,Camoletto,Male,19,China,Bhojpur Airport,NP,Nepal,AS,Asia,12/10/2022,BHP,Louisa Worvell,Delayed,Adria Airways,n,Adria Airways customer review,31st July 2003,FALSE,In July 2003 I flew London (Gatwick)-Ljubljana-Skopje return in Business Class. Overall I was quite impressed. All flights departed and arrived on time and the onboard service was efficient and reasonably friendly. Hot meals were served on all flights although the quality of these varied from disgusting to just OK. All drinks were complimentary. The aircraft (A320 and CRJ) were modern and spotlessly clean. Business Class seating is identical to economy with a moveable curtain. Transiting at Ljubljana was painless although it is a very small airport and the Business Class lounge is nothing special. I would happily fly with them again although they do need to improve the quality of their meals.,,,,,,,,,,,,,no,satisfied,Loyal Customer,33,Personal Travel,Eco,3505,0,1,1,2,2,1,2,2,3,5,3,4,2,2,0,0
93,9E,3804,CLE,ATL,3,335,128,0,1cYnY2,Aeriela,Clarke,Female,70,Portugal,Gorna Oryahovitsa Airport,BG,Bulgaria,EU,Europe,9/25/2022,GOZ,Devonne Jon,On Time,Adria Airways,n,Adria Airways customer review,6th December 2002,FALSE,I have just returned from a long weekend in Ljubljana flying on Adria from London Gatwick. The outbound flight was ok (food portions were a bit stingy given the 2 hour 20 minute flight time) and we arrived early into Ljubljana. Beware about arriving on a Saturday - the coach to the city centre are few and far between. I ended up taking a taxi which cost me 6500 SIT (about UKP 20) whereas the bus was 600 SIT (1.40). On the return flight Adria cancelled the flight for 'technical reasons'. Judging by the low number of people that went to the passenger service counter I think the reason for cancellation may have been more economic than technical. I was rerouted via Munich which added over an hour and a half to the journey and we flew into Heathrow (with BA) instead of Gatwick which left me with a useless train ticket and no way of getting home. The flight to Munich with Adria was good and an edible snack was served with apple juice. Despite the problems with the return journey Adria seems to be a reasonable airline and is an ok (if not the only) choice to get to this country.,,,,,,,,,,,,,no,satisfied,Loyal Customer,18,Personal Travel,Eco,1948,0,1,1,3,2,1,2,2,3,2,2,1,2,2,15,10
94,AA,674,ORD,MIA,3,335,185,1,LkZ2bb,Marjory,Franz,Female,46,Nigeria,Hattiesburg Laurel Regional Airport,US,United States,NAM,North America,7/27/2022,PIB,Padget Diben,Cancelled,Adria Airways,n,Adria Airways customer review,25th August 2002,FALSE,I have flown Adria recently on a LH code share from Munich to Ljubjana and return. In both cases the plane was a brand new CRJ. Both flights were really smooth and the crews really efficient and helpful. Pilots kept us informed about everything during both flights. It was sunset and dusk and the flight over the alps was absolutely scenic. Despite the narrow cabin of the CRJ the pitch is quite generous and the leather seats comfortable. Both flights lasted 45 minutes and from MUC to LJU I travelled tourist class. Normally in short flights there isnt time for much than a drink. We receive an apple juice a cheese and salad sandwich plus coffee and tea. The LJU-MUC and due to an overbooking was on business. We were offered an orange juice prior to departure and then a tasty breakfast consisting in bacon and scramble eggs fruit salad a croissant and coffe and tea. Superb for such a short segment. Not being a prime choice its an airline which is pleasant to flight.,,,,,,,,,,,,,no,satisfied,Loyal Customer,23,Personal Travel,Eco Plus,1546,0,2,0,1,5,0,5,5,3,3,5,5,5,5,0,2
95,B6,728,BQN,JFK,3,335,231,0,EhG0RS,Rodolph,Grewcock,Male,23,Kazakhstan,Nalchik Airport,RU,Russian Federation,EU,Europe,11/26/2022,NAL,Constantine Leworthy,Delayed,Aegean Airlines,1,"""Very poor service""",24th July 2023,TRUE,"  At check-in, we were told that our checked baggage was too heavy (limit 8kg/17lbs even though the website said 23kg/50lb limit), and we needed to reduce the weight. We were put to the side so we could move our dirty laundry from the suitcases and put into tote bags (purchased from the nearby shop) that we could carry on. This was both embarrassing and frustrating. The plane was an hour late for our connecting flight. They didn't tell us, but fortunately (after running through the airport), our connection was also late, so we did make the plane. They stopped food service short, so the last 5 rows didn't get any food. This was not due to weather, but just bad timing of the stewards. We still had 30 minutes to land, so they could have quickly handed out the sandwiches, but they decided not to provide service to the last few rows. I don't know if it was due to poor planning of the start of food service, or of taking too much time in the middle rows. Instead of treating us like the rest of the passengers, we felt like 3rd class citizens. Very poor service.",,Family Leisure,Economy Class,Heraklion to Istanbul via Athens,Jul-23,2,1,1,1,4,2,1,no,satisfied,Loyal Customer,49,Personal Travel,Eco Plus,2044,0,2,0,2,2,0,2,2,2,4,3,4,3,2,0,0
